symbol	function description	source	confidence code	Previous.Symbols	Synonyms
ZNF131	zinc finger protein 131	based on GO term	CC:1		pHZ-10
ZNF132	zinc finger protein 132	based on GO term	CC:1		pHZ-12
ZNF133	zinc finger protein 133	based on GO term	CC:1	ZNF150	pHZ-13, pHZ-66
ZNF134	zinc finger protein 134	based on GO term	CC:1		pHZ-15
ZNF135	zinc finger protein 135	based on GO term	CC:1	ZNF61, ZNF78L1	pHZ-17
ZNF138	zinc finger protein 138	based on GO term	CC:1		pHZ-32
ZNF140	zinc finger protein 140	based on GO term	CC:1		pHZ-39
ZNF142	zinc finger protein 142	based on GO term	CC:1		KIAA0236, pHZ-49
ZNF143	zinc finger protein 143	based on GO term	CC:1		SBF, pHZ-1, STAF
ZNF148	zinc finger protein 148	based on GO term	CC:1		BERF-1, ZBP-89, BFCOL1, HT-BETA, ZFP148, pHZ-52
ZNF154	zinc finger protein 154	based on GO term	CC:1		pHZ-92
ZNF155	zinc finger protein 155	based on GO term	CC:1		pHZ-96
ZNF157	zinc finger protein 157	based on GO term	CC:1		HZF22
ZNF165	zinc finger protein 165	based on GO term	CC:1		ZSCAN7, CT53
ZNF167	zinc finger protein 167	based on GO term	CC:1	ZNF64, ZNF448	FLJ12738, ZFP, ZKSCAN7
ZNF169	zinc finger protein 169	based on GO term	CC:1		MGC51961
ZNF174	zinc finger protein 174	based on GO term	CC:1		ZSCAN8
ZNF175	zinc finger protein 175	based on GO term	CC:1		OTK18
ZNF18	zinc finger protein 18	based on GO term	CC:1		KOX11, HDSG1, Zfp535, ZNF535, ZKSCAN6
ZNF187	zinc finger protein 187	based on GO term	CC:1		SRE-ZBP, ZSCAN26
ZNF189	zinc finger protein 189	based on GO term	CC:1		
ZNF19	zinc finger protein 19	based on GO term	CC:1		KOX12, MGC51021
ZNF192	zinc finger protein 192	based on GO term	CC:1		LD5-1, ZKSCAN8
ZNF193	zinc finger protein 193	based on GO term	CC:1		PRD51, ZSCAN9
ZNF197	zinc finger protein 197	based on GO term	CC:1	ZNF166	P18, D3S1363E, ZKSCAN9
ZNF202	zinc finger protein 202	based on GO term	CC:1		ZKSCAN10
ZNF207	zinc finger protein 207	based on GO term	CC:1		
ZNF211	zinc finger protein 211	based on GO term	CC:1		ZNF-25, CH2H2-25
ZNF213	zinc finger protein 213	based on GO term	CC:1		CR53, ZKSCAN21
ZNF215	zinc finger protein 215	based on GO term	CC:1		ZKSCAN11
ZNF217	zinc finger protein 217	based on GO term	CC:1		ZABC1
ZNF219	zinc finger protein 219	based on GO term	CC:1		
ZNF232	zinc finger protein 232	based on GO term	CC:1		ZSCAN11
ZNF236	zinc finger protein 236	based on GO term	CC:1		
ZNF238	zinc finger protein 238	based on GO term	CC:1		C2H2-171, TAZ-1, RP58, ZBTB18
ZNF24	zinc finger protein 24	based on GO term	CC:1	ZNF191	KOX17, ZSCAN3, Zfp191
ZNF256	zinc finger protein 256	based on GO term	CC:1		BMZF-3
ZNF263	zinc finger protein 263	based on GO term	CC:1		FPM315, ZKSCAN12
ZNF268	zinc finger protein 268	based on GO term	CC:1		HZF3
ZNF274	zinc finger protein 274	based on GO term	CC:1		ZKSCAN19
ZNF277	zinc finger protein 277	based on GO term	CC:1	ZNF277P	NRIF4
ZNF281	zinc finger protein 281	based on GO term	CC:1		ZBP-99
ZNF287	zinc finger protein 287	based on GO term	CC:1		ZKSCAN13
ZNF3	zinc finger protein 3	based on GO term	CC:1		A8-51, KOX25, PP838, FLJ20216, HF.12, Zfp113
ZNF323	zinc finger protein 323	based on GO term	CC:1	ZNF310P	
ZNF33A	zinc finger protein 33A	based on GO term	CC:1	ZNF33, ZNF11A	KOX5, KOX31, KIAA0065, FLJ23404, ZZAPK
ZNF33B	zinc finger protein 33B	based on GO term	CC:1	ZNF11B	KOX31, KOX2
ZNF345	zinc finger protein 345	based on GO term	CC:1		HZF10
ZNF35	zinc finger protein 35	based on GO term	CC:1		HF.10, HF10, Zfp105
ZNF354A	zinc finger protein 354A	based on GO term	CC:1	TCF17	KID-1, EZNF, HKL1, KID1
ZNF367	zinc finger protein 367	based on GO term	CC:1		FLJ33970
ZNF37A	zinc finger protein 37A	based on GO term	CC:1	ZNF37	KOX21
ZNF394	zinc finger protein 394	based on GO term	CC:1		FLJ12298, ZKSCAN14
ZNF396	zinc finger protein 396	based on GO term	CC:1		FLJ31213, ZSCAN14
ZNF397	zinc finger protein 397	based on GO term	CC:1	ZNF47	MGC13250, ZSCAN15
ZNF397OS	zinc finger protein 397 opposite strand	based on GO term	CC:1	NA	NA
ZNF41	zinc finger protein 41	based on GO term	CC:1		MGC8941, MRX89
ZNF423	zinc finger protein 423	based on GO term	CC:1		KIAA0760, OAZ, Roaz, Ebfaz, Zfp104
ZNF444	zinc finger protein 444	based on GO term	CC:1		FLJ11137, EZF2, ZSCAN17
ZNF445	zinc finger protein 445	based on GO term	CC:1	ZNF168	ZKSCAN15
ZNF446	zinc finger protein 446	based on GO term	CC:1		FLJ20626, ZKSCAN20
ZNF449	zinc finger protein 449	based on GO term	CC:1		FLJ23614, ZSCAN19
ZNF45	zinc finger protein 45	based on GO term	CC:1	ZNF13	
ZNF483	zinc finger protein 483	based on GO term	CC:1		KIAA1962, ZKSCAN16
ZNF496	zinc finger protein 496	based on GO term	CC:1		MGC15548, ZKSCAN17
ZNF498	zinc finger protein 498	based on GO term	CC:1	ZSCAN25	FLJ32468
ZNF500	zinc finger protein 500	based on GO term	CC:1		KIAA0557, ZKSCAN18
ZNF628	zinc finger protein 628	based on GO term	CC:1		ZEC, Zfp628
ZNF639	zinc finger protein 639	based on GO term	CC:1		ANC-2H01, ZASC1
ZNF69	zinc finger protein 69	based on GO term	CC:1		Cos5
ZNF70	zinc finger protein 70	based on GO term	CC:1		Cos17, MGC48959
ZNF71	zinc finger protein 71	based on GO term	CC:1		Cos26, EZFIT
ZNF73	zinc finger protein 73	based on GO term	CC:1	ZNF186	hZNF2, Cos12
ZNF75C	zinc finger protein 75C (pseudogene)	based on GO term	CC:1	NA	NA
ZNF75D	zinc finger protein 75D	based on GO term	CC:1	ZNF82, ZNF75	D8C6
ZNF80	zinc finger protein 80	based on GO term	CC:1		pT17
ZNF81	zinc finger protein 81	based on GO term	CC:1	MRX45	HFZ20
ZNF83	zinc finger protein 83	based on GO term	CC:1	ZNF816B	FLJ11015, HPF1
ZNF85	zinc finger protein 85	based on GO term	CC:1		HPF4, HTF1
ZNF90	zinc finger protein 90	based on GO term	CC:1		HTF9
ZNF91	zinc finger protein 91	based on GO term	CC:1		HPF7, HTF10
ZNF92	zinc finger protein 92	based on GO term	CC:1		HPF12, TF12
ZNF93	zinc finger protein 93	based on GO term	CC:1	ZNF505	HPF34, TF34, FLJ12488
ZRANB2	zinc finger, RAN-binding domain containing 2	based on GO term	CC:1	ZNF265	ZIS, ZIS1, ZIS2
ZSCAN1	zinc finger and SCAN domain containing 1	based on GO term	CC:1		FLJ33779, ZNF915
ZSCAN10	zinc finger and SCAN domain containing 10	based on GO term	CC:1	ZNF206	
ZSCAN12	zinc finger and SCAN domain containing 12	based on GO term	CC:1	ZNF305, ZNF96	KIAA0426, ZNF29K1, ZFP96, dJ29K1.2
ZSCAN16	zinc finger and SCAN domain containing 16	based on GO term	CC:1	ZNF392, ZNF435	FLJ22191, dJ265C24.3
ZSCAN18	zinc finger and SCAN domain containing 18	based on GO term	CC:1	ZNF447	FLJ12895
ZSCAN2	zinc finger and SCAN domain containing 2	based on GO term	CC:1	ZFP29	FLJ20595, ZNF854
ZSCAN20	zinc finger and SCAN domain containing 20	based on GO term	CC:1	ZNF360, ZNF31	KOX29
ZSCAN21	zinc finger and SCAN domain containing 21	based on GO term	CC:1	ZNF38	DKFZp434L134, NY-REN-21, Zipro1
ZSCAN22	zinc finger and SCAN domain containing 22	based on GO term	CC:1	ZNF50, HKR2	
ZSCAN23	zinc finger and SCAN domain containing 23	based on GO term	CC:1	ZNF453, ZNF390	dJ29K1.3.1
ZSCAN29	zinc finger and SCAN domain containing 29	based on GO term	CC:1	ZNF690	FLJ35867, Zfp690
ZSCAN4	zinc finger and SCAN domain containing 4	based on GO term	CC:1	ZNF494	FLJ35105
ZSCAN5A	zinc finger and SCAN domain containing 5A	based on GO term	CC:1	ZNF495, ZSCAN5	MGC4161
ZSCAN5B	zinc finger and SCAN domain containing 5B	based on GO term	CC:1		ZNF495B
ZSCAN5C	zinc finger and SCAN domain containing 5C	based on GO term	CC:1		ZNF495C
ZXDA	zinc finger, X-linked, duplicated A	based on GO term	CC:1		ZNF896
ZXDC	ZXD family zinc finger C	based on GO term	CC:1		MGC11349, FLJ13861
AHCTF1	AT hook containing transcription factor 1	based on function description	CC:2		ELYS
AHCTF1P1	AT hook containing transcription factor 1 pseudogene 1	based on function description	CC:2	AHCTF1P	ELYS-like
AKNA	AT-hook transcription factor	based on function description	CC:2		KIAA1968
ATF1P1	activating transcription factor 1 pseudogene 1	based on function description	CC:2		
ATF4B	activating transcription factor 4B	based on function description	CC:2	NA	NA
ATF4C	activating transcription factor 4C	based on function description	CC:2	NA	NA
ATF4P1	activating transcription factor 4 pseudogene 1	based on function description	CC:2	TXREBP, ATF4P	TAXREB67P
ATF4P2	activating transcription factor 4 pseudogene 2	based on function description	CC:2		
ATF7IP	activating transcription factor 7 interacting protein	based on function description	CC:2		FLJ10688, p621
ATF7IP2	activating transcription factor 7 interacting protein 2	based on function description	CC:2		FLJ12668
BCLAF1	BCL2-associated transcription factor 1	based on function description	CC:2		KIAA0164, BTF
BPTF	bromodomain PHD finger transcription factor	based on function description	CC:2	FALZ	FAC1, NURF301
BTF3L1	basic transcription factor 3, like 1 pseudogene	based on function description	CC:2	NA	NA
BTF3L4	basic transcription factor 3-like 4	based on function description	CC:2		MGC23908
BTF3L4P	basic transcription factor 3-like 4 pseudogene	based on function description	CC:2	NA	NA
BTF3P1	basic transcription factor 3, pseudogene 1	based on function description	CC:2		HUMBTFA
BTF3P2	basic transcription factor 3, pseudogene 2	based on function description	CC:2		
BTF3P3	basic transcription factor 3, pseudogene 3	based on function description	CC:2		
CTD-2090I13.4	basic transcription factor 3, pseudogene 9	based on function description	CC:2	NA	NA
E2F3P1	E2F transcription factor 3 pseudogene 1	based on function description	CC:2		
E2F3P2	E2F transcription factor 3 pseudogene 2	based on function description	CC:2		
GABPAP	GA binding protein transcription factor, alpha subunit pseudogene	based on function description	CC:2	GABPB1	E4TF1, E4TF1B
GABPB2	GA binding protein transcription factor, beta subunit 2	based on function description	CC:2		MGC29891
GTF2A1	general transcription factor IIA, 1, 19/37kDa	based on function description	CC:2		TFIIA
GTF2A2	general transcription factor IIA, 2, 12kDa	based on function description	CC:2		TFIIA, HsT18745
GTF2B	general transcription factor IIB	based on function description	CC:2		TFIIB
GTF2F1	general transcription factor IIF, polypeptide 1, 74kDa	based on function description	CC:2		TFIIF, BTF4, RAP74, TF2F1
GTF2F2	general transcription factor IIF, polypeptide 2, 30kDa	based on function description	CC:2		TFIIF, BTF4, RAP30
GTF2F2L	general transcription factor IIF, polypeptide 2-like	based on function description	CC:2	NA	NA
GTF2H1	general transcription factor IIH, polypeptide 1, 62kDa	based on function description	CC:2		BTF2
GTF2H2B	general transcription factor IIH, polypeptide 2B	based on function description	CC:2		DKFZP686M0199
GTF2H2C	general transcription factor IIH, polypeptide 2C	based on function description	CC:2		
GTF2H2D	general transcription factor IIH, polypeptide 2D	based on function description	CC:2		LOC730394
GTF2H5	general transcription factor IIH, polypeptide 5	based on function description	CC:2	C6orf175, TTD	FLJ30544, bA120J8.2, TTD-A, TFB5, TFIIH
GTF2IP1	general transcription factor IIi, pseudogene 1	based on function description	CC:2	WBSCR7	
GTF2IP2	general transcription factor IIi, pseudogene 2	based on function description	CC:2		
GTF3BAP1	general transcription factor IIIB, associated protein 1	based on function description	CC:2	NA	NA
GTF3BAP2	general transcription factor IIIB, associated protein 2	based on function description	CC:2	NA	NA
GTF3BAP3	general transcription factor IIIB, associated protein 3	based on function description	CC:2	NA	NA
HBP1	HMG-box transcription factor 1	based on function description	CC:2		
hCG_1982709	transcription factor Dp-1-like pseudogene	based on function description	CC:2	NA	NA
HSF2BP	heat shock transcription factor 2 binding protein	based on function description	CC:2		
HSFX1	heat shock transcription factor family, X linked 1	based on function description	CC:2		LW-1
HSFY1	heat shock transcription factor, Y-linked 1	based on function description	CC:2	HSFY	HSF2L
HSFY3P	heat shock transcription factor, Y-linked 3, pseudogene	based on function description	CC:2		
HSFY4P	heat shock transcription factor, Y-linked 4, pseudogene	based on function description	CC:2		
HSFYL1	heat shock transcription factor, Y-linked-like 1, pseudogene	based on function description	CC:2	NA	NA
LOC100093631	general transcription factor II, i, pseudogene	based on function description	CC:2	NA	NA
LOC100127952	similar to activating transcription factor 4	based on function description	CC:2	NA	NA
LOC100128007	similar to Spi-C transcription factor (Spi-1/PU.1 related)	based on function description	CC:2	NA	NA
LOC100128217	similar to general transcription factor IIIA	based on function description	CC:2	NA	NA
LOC100128345	similar to nuclear transcription factor Y, gamma	based on function description	CC:2	NA	NA
LOC100128427	upstream binding transcription factor, RNA polymerase I pseudogene	based on function description	CC:2	NA	NA
LOC100128441	similar to general transcription factor IIA, 2	based on function description	CC:2	NA	NA
LOC100128659	similar to transcription factor T	based on function description	CC:2	NA	NA
LOC100128769	similar to nuclear transcription factor-Y beta	based on function description	CC:2	NA	NA
LOC100128803	similar to Spi-C transcription factor (Spi-1/PU.1 related)	based on function description	CC:2	NA	NA
LOC100129001	similar to general transcription factor IIIC, polypeptide 6, alpha 35kDa	based on function description	CC:2	NA	NA
LOC100129107	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47) pseudogene	based on function description	CC:2	NA	NA
LOC100129512	similar to octamer-binding transcription factor-3A	based on function description	CC:2	NA	NA
LOC100129654	similar to transcription factor 23	based on function description	CC:2	NA	NA
LOC100130114	similar to Spi-C transcription factor (Spi-1/PU.1 related)	based on function description	CC:2	NA	NA
LOC100130409	similar to basic transcription factor 3	based on function description	CC:2	NA	NA
LOC100131899	similar to E2F transcription factor 4, p107/p130-binding	based on function description	CC:2	NA	NA
LOC100132460	similar to heat shock transcription factor family, X linked 1	based on function description	CC:2	NA	NA
LOC100132641	similar to basic transcription factor 3	based on function description	CC:2	NA	NA
LOC100133153	similar to heat shock transcription factor family, X linked 1	based on function description	CC:2	NA	NA
LOC100133252	similar to putative transcription factor ZNF131	based on function description	CC:2	NA	NA
LOC100135063	general transcription factor IIIA pseudogene	based on function description	CC:2	NA	NA
LOC100135064	general transcription factor IIIA pseudogene	based on function description	CC:2	NA	NA
LOC100290519	similar to transcription factor MEL1	based on function description	CC:2	NA	NA
LOC100291104	similar to GA binding protein transcription factor, beta subunit 1 isoform gamma 2	based on function description	CC:2	NA	NA
LOC100292489	similar to POU domain, class 3, transcription factor 4	based on function description	CC:2	NA	NA
LOC100293394	similar to RNA polymerase II transcription factor SIII subunit A3	based on function description	CC:2	NA	NA
LOC342784	similar to general transcription factor IIH, polypeptide 1, 62kDa	based on function description	CC:2	NA	NA
LOC376818	E2F transcription factor 6 pseudogene	based on function description	CC:2	NA	NA
LOC386610	E2F transcription factor 6 pseudogene	based on function description	CC:2	NA	NA
LOC390617	transcription factor Dp-1 pseudogene	based on function description	CC:2	NA	NA
LOC440973	similar to nuclear transcription factor Y, beta	based on function description	CC:2	NA	NA
LOC442155	similar to transcription factor B2, mitochondrial	based on function description	CC:2	NA	NA
LOC442446	upstream binding transcription factor, RNA polymerase I pseudogene	based on function description	CC:2	NA	NA
LOC642929	general transcription factor II, i pseudogene	based on function description	CC:2	NA	NA
LOC643182	upstream binding transcription factor, RNA polymerase I pseudogene	based on function description	CC:2	NA	NA
LOC643412	basic transcription factor 3 pseudogene	based on function description	CC:2	NA	NA
LOC644383	similar to heat shock transcription factor 2	based on function description	CC:2	NA	NA
LOC644563	similar to general transcription factor IIIC, polypeptide 6, alpha 35kDa	based on function description	CC:2	NA	NA
LOC646120	similar to Spi-C transcription factor (Spi-1/PU.1 related)	based on function description	CC:2	NA	NA
LOC646745	similar to general transcription factor IIIC, polypeptide 6, alpha 35kDa	based on function description	CC:2	NA	NA
LOC647012	similar to YY1 transcription factor	based on function description	CC:2	NA	NA
LOC651986	similar to Forkhead box protein L1 (Forkhead-related protein FKHL11) (Forkhead-related transcription factor 7) (FREAC-7)	based on function description	CC:2	NA	NA
LOC652959	basic transcription factor 3, pseudogene 5	based on function description	CC:2	NA	NA
LOC652964	basic transcription factor 3 pseudogene	based on function description	CC:2	NA	NA
LOC728366	BCL2-associated transcription factor 1 pseudogene	based on function description	CC:2	NA	NA
LOC728633	similar to general transcription factor IIF, polypeptide 2, 30kDa	based on function description	CC:2	NA	NA
LOC731605	similar to Bcl-2-associated transcription factor 1 (Btf)	based on function description	CC:2	NA	NA
LZTFL1	leucine zipper transcription factor-like 1	based on function description	CC:2		
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	based on function description	CC:2		ZF87, Pur-1, Zif87, ZNF801
MBTPS1	membrane-bound transcription factor peptidase, site 1	based on function description	CC:2		S1P, KIAA0091, SKI-1, PCSK8
MBTPS2	membrane-bound transcription factor peptidase, site 2	based on function description	CC:2		S2P
MTF2	metal response element binding transcription factor 2	based on function description	CC:2		M96, PCL2
NF-E4	transcription factor NF-E4	based on function description	CC:2	NA	NA
NFYAP1	nuclear transcription factor Y, alpha pseudogene 1	based on function description	CC:2	NFYAP	
OLIG1	oligodendrocyte transcription factor 1	based on function description	CC:2		BHLHB6, bHLHe21
OLIG3	oligodendrocyte transcription factor 3	based on function description	CC:2		Bhlhb7, bHLHe20
PHTF2	putative homeodomain transcription factor 2	based on function description	CC:2		DKFZp434D166
PTF1A	pancreas specific transcription factor, 1a	based on function description	CC:2		PTF1-p48, bHLHa29
REST	RE1-silencing transcription factor	based on function description	CC:2		NRSF, XBR
RP11-151A2.2	basic transcription factor 3, pseudogene 8	based on function description	CC:2	NA	NA
RP11-301J16.2	general transcription factor II, i pseudogene	based on function description	CC:2	NA	NA
RP11-320C15.1	basic transcription factor 3, pseudogene 7	based on function description	CC:2	NA	NA
RP11-61E5.1	basic transcription factor 3, pseudogene 4	based on function description	CC:2	NA	NA
RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	based on function description	CC:2		DKFZp566E104
RRN3P1	RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 1	based on function description	CC:2		
RRN3P2	RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 2	based on function description	CC:2		
RRN3P3	RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 3	based on function description	CC:2		
SP3	Sp3 transcription factor	based on function description	CC:2		SPR-2
SP3P	Sp3 transcription factor pseudogene	based on function description	CC:2		
SP5	Sp5 transcription factor	based on function description	CC:2		
SP6	Sp6 transcription factor	based on function description	CC:2		KLF14, Epfn
SP7	Sp7 transcription factor	based on function description	CC:2		osterix, OSX
SP8	Sp8 transcription factor	based on function description	CC:2		
SP9	Sp9 transcription factor homolog (mouse)	based on function description	CC:2		ZNF990
TCF20	transcription factor 20 (AR1)	based on function description	CC:2		AR1, SPBP
TCF23	transcription factor 23	based on function description	CC:2		OUT, bHLHa24
TCF24	transcription factor 24	based on function description	CC:2		bHLHa25
TFAMP1	transcription factor A, mitochondrial pseudogene 1	based on function description	CC:2	TCF6L1	MTTF1
TFAMP2	transcription factor A, mitochondrial pseudogene 2	based on function description	CC:2	TCF6L3	MTTF1
TFB1M	transcription factor B1, mitochondrial	based on function description	CC:2		mtTFB, CGI-75
TFB2M	transcription factor B2, mitochondrial	based on function description	CC:2		FLJ23182, FLJ22661, Hkp1
TFDP1P	transcription factor Dp-1 pseudogene	based on function description	CC:2		
UBTFL1	upstream binding transcription factor, RNA polymerase I-like 1	based on function description	CC:2	C11orf27	
UBTFL2	upstream binding transcription factor, RNA polymerase I-like 2	based on function description	CC:2		
UBTFL3	upstream binding transcription factor, RNA polymerase I-like 3	based on function description	CC:2		
UBTFL5	upstream binding transcription factor, RNA polymerase I-like 5	based on function description	CC:2		
UBTFL6	upstream binding transcription factor, RNA polymerase I-like 6	based on function description	CC:2		
UBTFL7	upstream binding transcription factor, RNA polymerase I-like 7	based on function description	CC:2		
USF1P1	upstream transcription factor 1 pseudogene 1	based on function description	CC:2	USF1P	
YY2	YY2 transcription factor	based on function description	CC:2		ZNF631
ABP1	amiloride binding protein 1 (amine oxidase (copper-containing))	v4 only	CC:3		AOC1, DAO
ABT1	activator of basal transcription 1	v4 only	CC:3		
ACVR2A	activin A receptor, type IIA	v4 only	CC:3	ACVR2	ACTRII
ADPGK	ADP-dependent glucokinase	v4 only	CC:3		DKFZp434B195, ADP-GK
AEBP2	AE binding protein 2	v4 only	CC:3		MGC17922
AFF2	AF4/FMR2 family, member 2	v4 only	CC:3	FMR2	FRAXE
AFF3	AF4/FMR2 family, member 3	v4 only	CC:3	LAF4	MLLT2-like
AIP	aryl hydrocarbon receptor interacting protein	v4 only	CC:3		XAP2, ARA9, FKBP16
AIRE	autoimmune regulator	v4 only	CC:3	APECED	PGA1, APS1
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	v4 only	CC:3		KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45
AMOT	angiomotin	v4 only	CC:3		KIAA1071
ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	v4 only	CC:3	C15orf1	LANP, PP32, I1PP2A, PHAPI, MAPM, mapmodulin
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	v4 only	CC:3	APEX	APE, REF1, HAP1, APX, APEN, REF-1, APE-1
ARC	activity-regulated cytoskeleton-associated protein	v4 only	CC:3		KIAA0278, Arg3.1
ARID1A	AT rich interactive domain 1A (SWI-like)	v4 only	CC:3	C1orf4, SMARCF1	B120, P270, C10rf4, BAF250, BAF250a
ARID1B	AT rich interactive domain 1B (SWI1-like)	v4 only	CC:3		KIAA1235, ELD/OSA1, p250R, BAF250b, DAN15, 6A3-5
ARID3B	AT rich interactive domain 3B (BRIGHT-like)	v4 only	CC:3		BDP, DRIL2
ARID5A	AT rich interactive domain 5A (MRF1-like)	v4 only	CC:3		MRF-1, RP11-363D14
ARID5B	AT rich interactive domain 5B (MRF1-like)	v4 only	CC:3		FLJ21150, MRF2
ARIH2	ariadne homolog 2 (Drosophila)	v4 only	CC:3		TRIAD1
ASCL3	achaete-scute complex homolog 3 (Drosophila)	v4 only	CC:3		bHLHa42, HASH3, Sgn1
ASH2L	ash2 (absent, small, or homeotic)-like (Drosophila)	v4 only	CC:3	ASH2L1	ASH2L2, ASH2, Bre2
ASPH	aspartate beta-hydroxylase	v4 only	CC:3		CASQ2BP1, BAH, JCTN, HAAH
ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	v4 only	CC:3	APG4B	Apg4B, KIAA0943, DKFZp586D1822, AUTL1
ATM	ataxia telangiectasia mutated	v4 only	CC:3	ATA, ATDC, ATC, ATD	TEL1, TELO1
ATN1	atrophin 1	v4 only	CC:3	D12S755E, DRPLA	B37
ATOH7	atonal homolog 7 (Drosophila)	v4 only	CC:3		Math5, bHLHa13
ATOH8	atonal homolog 8 (Drosophila)	v4 only	CC:3		HATH6, FLJ14708, bHLHa21
ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	v4 only	CC:3	RAD54, JMS	XH2, XNP
ATXN1	ataxin 1	v4 only	CC:3	SCA1	D6S504E, ATX1
ATXN2	ataxin 2	v4 only	CC:3	SCA2, TNRC13	ATX2
BAGE	B melanoma antigen	v4 only	CC:3		CT2.1
BANP	BTG3 associated nuclear protein	v4 only	CC:3		SMARBP1, SMAR1, FLJ20538, DKFZp761H172, FLJ10177, BEND1
BAZ1A	bromodomain adjacent to zinc finger domain, 1A	v4 only	CC:3		hACF1, ACF1, WALp1, WCRF180
BAZ2A	bromodomain adjacent to zinc finger domain, 2A	v4 only	CC:3		KIAA0314, TIP5, WALp3
BAZ2B	bromodomain adjacent to zinc finger domain, 2B	v4 only	CC:3		WALp4
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	v4 only	CC:3	EVI9	BCL11A-XL, BCL11A-L, BCL11A-S, CTIP1, HBFQTL5, ZNF856
BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	v4 only	CC:3	ZNF856B	CTIP-2, CTIP2, hRIT1-alpha
BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)	v4 only	CC:3	ZNF62	ZBTB28, BAZF
BHLHE22	basic helix-loop-helix family, member e22	v4 only	CC:3	TNRC20, BHLHB5	CAGL85, Beta3, bHLHe22
BHLHE23	basic helix-loop-helix family, member e23	v4 only	CC:3	BHLHB4	bA305P22.3, Beta4, bHLHe23
BLOC1S1	biogenesis of lysosomal organelles complex-1, subunit 1	v4 only	CC:3	GCN5L1	BLOS1
BMI1	BMI1 polycomb ring finger oncogene	v4 only	CC:3	PCGF4	RNF51
BNC2	basonuclin 2	v4 only	CC:3		BSN2, FLJ20043
BRCA1	breast cancer 1, early onset	v4 only	CC:3		RNF53, BRCC1, PPP1R53
BRCA2	breast cancer 2, early onset	v4 only	CC:3	FANCD1, FACD, FANCD	FAD, FAD1, BRCC2
BRD1	bromodomain containing 1	v4 only	CC:3		BRL, BRPF2
BRD2	bromodomain containing 2	v4 only	CC:3		KIAA9001, RING3, D6S113E, NAT, FSRG1
BRD3	bromodomain containing 3	v4 only	CC:3		RING3L, ORFX, KIAA0043
BRD4	bromodomain containing 4	v4 only	CC:3		HUNKI, MCAP, CAP, HUNK1
BRD7	bromodomain containing 7	v4 only	CC:3		CELTIX1, BP75
BRD9	bromodomain containing 9	v4 only	CC:3		FLJ13441
BRDT	bromodomain, testis-specific	v4 only	CC:3		BRD6, CT9
BRPF1	bromodomain and PHD finger containing, 1	v4 only	CC:3		BR140
BRPF3	bromodomain and PHD finger containing, 3	v4 only	CC:3		KIAA1286
BTBD1	BTB (POZ) domain containing 1	v4 only	CC:3		
BTBD2	BTB (POZ) domain containing 2	v4 only	CC:3		
BTBD3	BTB (POZ) domain containing 3	v4 only	CC:3		KIAA0952, dJ742J24.1
BTBD6	BTB (POZ) domain containing 6	v4 only	CC:3		BDPL
BTG1	B-cell translocation gene 1, anti-proliferative	v4 only	CC:3		
BTG2	BTG family, member 2	v4 only	CC:3		PC3, TIS21, MGC126063, MGC126064
C12orf32	chromosome 12 open reading frame 32	v4 only	CC:3		HKMT1188, MGC13204, RHINO
C14orf101	chromosome 14 open reading frame 101	v4 only	CC:3		FLJ20392
C14orf106	chromosome 14 open reading frame 106	v4 only	CC:3	NA	NA
C14orf166	chromosome 14 open reading frame 166	v4 only	CC:3		CGI-99, RLLM1
C15orf42	chromosome 15 open reading frame 42	v4 only	CC:3		MGC45866, FLJ41618, treslin, TICRR
C19orf25	chromosome 19 open reading frame 25	v4 only	CC:3		FLJ36666
C19orf6	chromosome 19 open reading frame 6	v4 only	CC:3		MGC4022, ASBABP1, MBRL
C1orf61	chromosome 1 open reading frame 61	v4 only	CC:3		CROC4
CAMK4	calcium/calmodulin-dependent protein kinase IV	v4 only	CC:3		CaMK-GR
CAND1	cullin-associated and neddylation-dissociated 1	v4 only	CC:3		TIP120A, DKFZp434M1414, KIAA0829, TIP120
CAND2	cullin-associated and neddylation-dissociated 2 (putative)	v4 only	CC:3		TIP120B, KIAA0667, Tp120b
CARM1	coactivator-associated arginine methyltransferase 1	v4 only	CC:3		PRMT4
CASZ1	castor zinc finger 1	v4 only	CC:3		FLJ20321, ZNF693, castor, cst, SRG
